source,target,source_uniprot,target_uniprot,directionality,classification
NPY,NPY1R,P01303,P25929,Ligand-Receptor,Signaling by Pro-neuregulin
NPY,NPY2R,P01303,P49146,Ligand-Receptor,Signaling by Pro-neuregulin
NPY,NPY4R,P01303,P50391,Ligand-Receptor,Signaling by Pro-neuregulin
NPY,NPY5R,P01303,Q15761,Ligand-Receptor,Signaling by Pro-neuregulin
NPY,PRLHR,P01303,P49683,Ligand-Receptor,Signaling by Pro-neuregulin
GNRH1,GNRHR,P01148,P30968,Ligand-Receptor,Signaling by Progonadoliberin
GNRH1,GNRHR2,P01148,Q96P88,Ligand-Receptor,Signaling by Progonadoliberin
GNRH2,GNRHR,O43555,P30968,Ligand-Receptor,Signaling by Progonadoliberin
GNRH2,GNRHR2,O43555,Q96P88,Ligand-Receptor,Signaling by Progonadoliberin
PROK1,PROKR1,P58294,Q8TCW9,Ligand-Receptor,Signaling by Prokineticin
PROK1,PROKR2,P58294,Q8NFJ6,Ligand-Receptor,Signaling by Prokineticin
PROK2,PROKR1,Q9HC23,Q8TCW9,Ligand-Receptor,Signaling by Prokineticin
PROK2,PROKR2,Q9HC23,Q8NFJ6,Ligand-Receptor,Signaling by Prokineticin
PRL,PRLR,P01236,P16471,Ligand-Receptor,Signaling by Prolactin
PRLH,PRLHR,P81277,P49683,Ligand-Receptor,Signaling by Prolactin
POMC,MC2R,P01189,Q01718,Ligand-Receptor,Signaling by Proopiomelanocortin
POMC,MC3R,P01189,P41968,Ligand-Receptor,Signaling by Proopiomelanocortin
POMC,MC4R,P01189,P32245,Ligand-Receptor,Signaling by Proopiomelanocortin
POMC,MC5R,P01189,P33032,Ligand-Receptor,Signaling by Proopiomelanocortin
RLN1,RXFP1,P04808,Q9HBX9,Ligand-Receptor,Signaling by Relaxin
RLN1,RXFP2,P04808,Q8WXD0,Ligand-Receptor,Signaling by Relaxin
RLN1,RXFP3,P04808,Q9NSD7,Ligand-Receptor,Signaling by Relaxin
RLN2,RXFP1,P04090,Q9HBX9,Ligand-Receptor,Signaling by Relaxin
RLN2,RXFP2,P04090,Q8WXD0,Ligand-Receptor,Signaling by Relaxin
RLN2,RXFP3,P04090,Q9NSD7,Ligand-Receptor,Signaling by Relaxin
RLN3,RXFP1,Q8WXF3,Q9HBX9,Ligand-Receptor,Signaling by Relaxin
RLN3,RXFP2,Q8WXF3,Q8WXD0,Ligand-Receptor,Signaling by Relaxin
RLN3,RXFP3,Q8WXF3,Q9NSD7,Ligand-Receptor,Signaling by Relaxin
RLN3,RXFP4,Q8WXF3,Q8TDU9,Ligand-Receptor,Signaling by Relaxin
PSAP,GPR37,P07602,O15354,Ligand-Receptor,Signaling by Prosaposin
PSAP,GPR37L1,P07602,O60883,Ligand-Receptor,Signaling by Prosaposin
PPY,NPY1R,P01298,P25929,Ligand-Receptor,Signaling by Peptide YY
PPY,NPY2R,P01298,P49146,Ligand-Receptor,Signaling by Peptide YY
PPY,NPY4R,P01298,P50391,Ligand-Receptor,Signaling by Peptide YY
PPY,NPY5R,P01298,Q15761,Ligand-Receptor,Signaling by Peptide YY
PYY,NPY1R,P10082,P25929,Ligand-Receptor,Signaling by Peptide YY
PYY,NPY2R,P10082,P49146,Ligand-Receptor,Signaling by Peptide YY
PYY,NPY4R,P10082,P50391,Ligand-Receptor,Signaling by Peptide YY
PYY,NPY5R,P10082,Q15761,Ligand-Receptor,Signaling by Peptide YY
RSPO1,LGR4,Q2MKA7,Q9BXB1,Ligand-Receptor,Signaling by R-spondin
RSPO1,LGR5,Q2MKA7,O75473,Ligand-Receptor,Signaling by R-spondin
RSPO1,LGR6,Q2MKA7,Q9HBX8,Ligand-Receptor,Signaling by R-spondin
RSPO2,LGR4,Q6UXX9,Q9BXB1,Ligand-Receptor,Signaling by R-spondin
RSPO2,LGR5,Q6UXX9,O75473,Ligand-Receptor,Signaling by R-spondin
RSPO2,LGR6,Q6UXX9,Q9HBX8,Ligand-Receptor,Signaling by R-spondin
RSPO3,LGR4,Q9BXY4,Q9BXB1,Ligand-Receptor,Signaling by R-spondin
RSPO3,LGR5,Q9BXY4,O75473,Ligand-Receptor,Signaling by R-spondin
RSPO3,LGR6,Q9BXY4,Q9HBX8,Ligand-Receptor,Signaling by R-spondin
RSPO4,LGR4,Q2I0M5,Q9BXB1,Ligand-Receptor,Signaling by R-spondin
RSPO4,LGR5,Q2I0M5,O75473,Ligand-Receptor,Signaling by R-spondin
RSPO4,LGR6,Q2I0M5,Q9HBX8,Ligand-Receptor,Signaling by R-spondin
RELN,LRP8,P78509,Q14114,Ligand-Receptor,Signaling by Reelin
RELN,VLDLR,P78509,P98155,Ligand-Receptor,Signaling by Reelin
RARRES2,CCRL2,Q99969,O00421,Ligand-Receptor,Signaling by Retinoid acid
RARRES2,CMKLR1,Q99969,Q99788,Ligand-Receptor,Signaling by Retinoid acid
RARRES2,GPR1,Q99969,P46091,Ligand-Receptor,Signaling by Retinoid acid
SOSTDC1,LRP5,Q6X4U4,O75197,Ligand-Receptor,Signaling by Sclerostin domain-containing protein
SOSTDC1,LRP6,Q6X4U4,O75581,Ligand-Receptor,Signaling by Sclerostin domain-containing protein
SCT,SCTR,P09683,P47872,Ligand-Receptor,Signaling by Secretin
SCT,VIPR1,P09683,P32241,Ligand-Receptor,Signaling by Secretin
SCT,VIPR2,P09683,P41587,Ligand-Receptor,Signaling by Secretin
SELE,GLG1,P16581,Q92896,Ligand-Receptor,Signaling by Selectin
SELPLG,SELE,Q14242,P16581,Ligand-Receptor,Signaling by Selectin
SELPLG,SELL,Q14242,P14151,Ligand-Receptor,Signaling by Selectin
SELPLG,SELP,Q14242,P16109,Ligand-Receptor,Signaling by Selectin
SEMA3A,NRP1,Q14563,O14786,Ligand-Receptor,Signaling by Semaphorin
SEMA3C,NRP2,Q99985,O60462,Ligand-Receptor,Signaling by Semaphorin
SEMA3E,PLXND1,O15041,Q9Y4D7,Ligand-Receptor,Signaling by Semaphorin
SEMA3F,NRP2,Q13275,O60462,Ligand-Receptor,Signaling by Semaphorin
SEMA4A,PLXND1,Q9H3S1,Q9Y4D7,Ligand-Receptor,Signaling by Semaphorin
SEMA4C,PLXNB2,Q9C0C4,O15031,Ligand-Receptor,Signaling by Semaphorin
SEMA4D,CD72,Q92854,P21854,Ligand-Receptor,Signaling by Semaphorin
SEMA4D,PLXNB1,Q92854,O43157,Ligand-Receptor,Signaling by Semaphorin
SEMA4D,PLXNB2,Q92854,O15031,Ligand-Receptor,Signaling by Semaphorin
SEMA4D,PTPRC,Q92854,P08575,Ligand-Receptor,Signaling by Semaphorin
SEMA4G,PLXNB2,Q9NTN9,O15031,Ligand-Receptor,Signaling by Semaphorin
SEMA5A,PLXNB3,Q13591,Q9ULL4,Ligand-Receptor,Signaling by Semaphorin
SEMA7A,PLXNC1,O75326,O60486,Ligand-Receptor,Signaling by Semaphorin
SLITRK1,PTPRD,Q96PX8,P23468,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK1,PTPRS,Q96PX8,Q13332,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK2,PTPRD,Q9H156,P23468,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK2,PTPRS,Q9H156,Q13332,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK3,PTPRD,O94933,P23468,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK4,OLR1,Q8IW52,P78380,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK4,PTPRS,Q8IW52,Q13332,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK5,PTPRS,O94991,Q13332,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLITRK6,PTPRS,Q9H5Y7,Q13332,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLIT1,ROBO1,O75093,Q9Y6N7,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLIT2,ROBO1,O94813,Q9Y6N7,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
SLIT2,ROBO2,O94813,Q9HCK4,Ligand-Receptor,Signaling by SLIT and NTRK-like protein
CORT,SSTR1,O00230,P30872,Ligand-Receptor,Signaling by Somatostatin
CORT,SSTR2,O00230,P30874,Ligand-Receptor,Signaling by Somatostatin
CORT,SSTR3,O00230,P32745,Ligand-Receptor,Signaling by Somatostatin
CORT,SSTR4,O00230,P31391,Ligand-Receptor,Signaling by Somatostatin
CORT,SSTR5,O00230,P35346,Ligand-Receptor,Signaling by Somatostatin
GH1,GHR,P01241,P10912,Ligand-Receptor,Signaling by Somatostatin
GH2,GHR,P01242,P10912,Ligand-Receptor,Signaling by Somatostatin
SST,SSTR1,P61278,P30872,Ligand-Receptor,Signaling by Somatostatin
SST,SSTR2,P61278,P30874,Ligand-Receptor,Signaling by Somatostatin
SST,SSTR3,P61278,P32745,Ligand-Receptor,Signaling by Somatostatin
SST,SSTR4,P61278,P31391,Ligand-Receptor,Signaling by Somatostatin
SST,SSTR5,P61278,P35346,Ligand-Receptor,Signaling by Somatostatin
SHH,HHIP,Q15465,Q96QV1,Ligand-Ligand,Signaling by Sonic hedgehog
SDC1,ADGRA2,P18827,Q96PE1,Ligand-Receptor,Signaling by Syndecan
SDC2,ADGRA2,P34741,Q96PE1,Ligand-Receptor,Signaling by Syndecan
TAC1,TACR1,P20366,P25103,Ligand-Receptor,Signaling by Tachykinins
TAC1,TACR2,P20366,P21452,Ligand-Receptor,Signaling by Tachykinins
TAC1,TACR3,P20366,P29371,Ligand-Receptor,Signaling by Tachykinins
TAC3,TACR1,Q9UHF0,P25103,Ligand-Receptor,Signaling by Tachykinins
TAC3,TACR2,Q9UHF0,P21452,Ligand-Receptor,Signaling by Tachykinins
TAC3,TACR3,Q9UHF0,P29371,Ligand-Receptor,Signaling by Tachykinins
TAFA1,GPR1,Q7Z5A9,P46091,Ligand-Receptor,Signaling by TAFA
TAFA4,FPR1,Q96LR4,P21462,Ligand-Receptor,Signaling by TAFA
TAFA5,FPR2,Q7Z5A7,P25090,Ligand-Receptor,Signaling by TAFA
TAFA5,S1PR2,Q7Z5A7,O95136,Ligand-Receptor,Signaling by TAFA
TENM1,ADGRL1,Q9UKZ4,O94910,Ligand-Receptor,Signaling by Teneurin
TENM1,ADGRL2,Q9UKZ4,O95490,Ligand-Receptor,Signaling by Teneurin
TENM1,ADGRL3,Q9UKZ4,Q9HAR2,Ligand-Receptor,Signaling by Teneurin
TENM2,ADGRL1,Q9NT68,O94910,Ligand-Receptor,Signaling by Teneurin
TENM2,ADGRL2,Q9NT68,O95490,Ligand-Receptor,Signaling by Teneurin
TENM2,ADGRL3,Q9NT68,Q9HAR2,Ligand-Receptor,Signaling by Teneurin
TENM3,ADGRL1,Q9P273,O94910,Ligand-Receptor,Signaling by Teneurin
TENM3,ADGRL2,Q9P273,O95490,Ligand-Receptor,Signaling by Teneurin
TENM3,ADGRL3,Q9P273,Q9HAR2,Ligand-Receptor,Signaling by Teneurin
TENM4,ADGRL1,Q6N022,O94910,Ligand-Receptor,Signaling by Teneurin
TENM4,ADGRL2,Q6N022,O95490,Ligand-Receptor,Signaling by Teneurin
TENM4,ADGRL3,Q6N022,Q9HAR2,Ligand-Receptor,Signaling by Teneurin
THBS1,CD36,P07996,P16671,Ligand-Receptor,Signaling by Thrombospondin precursor
THBS2,CD36,P35442,P16671,Ligand-Receptor,Signaling by Thrombospondin precursor
TAX1BP3,ADGRB1,O14907,O14514,Ligand-Receptor,Signaling by Thromboxane
TAX1BP3,ADGRB2,O14907,O60241,Ligand-Receptor,Signaling by Thromboxane
THY1,ADGRE2,P04216,Q9UHX3,Adhesion-Adhesion,Adhesion by antigen THY1
THY1,ADGRE5,P04216,P48960,Adhesion-Adhesion,Adhesion by antigen THY1
TF,TFR2,P02787,Q9UP52,Ligand-Receptor,Signaling by Transferrin
TF,TFRC,P02787,P02786,Ligand-Receptor,Signaling by Transferrin
TGFA,EGFR,P01135,P00533,Ligand-Receptor,Signaling by Transforming growth factor
TGFB1,TGFBR3,P01137,Q03167,Ligand-Receptor,Signaling by Transforming growth factor
TGFB2,TGFBR3,P61812,Q03167,Ligand-Receptor,Signaling by Transforming growth factor
TGFB3,TGFBR3,P10600,Q03167,Ligand-Receptor,Signaling by Transforming growth factor
BTLA,TNFRSF14,Q7Z6A9,Q92956,Ligand-Receptor,Signaling by Tumor necrosis factor
CD160,TNFRSF14,O95971,Q92956,Adhesion-Adhesion,Signaling by Tumor necrosis factor
FASLG,FAS,P48023,P25445,Ligand-Receptor,Signaling by Tumor necrosis factor
FASLG,TNFRSF6B,P48023,O95407,Ligand-Receptor,Signaling by Tumor necrosis factor
LTA,TNFRSF14,P01374,Q92956,Ligand-Receptor,Signaling by Tumor necrosis factor
LTA,TNFRSF1A,P01374,P19438,Ligand-Receptor,Signaling by Tumor necrosis factor
LTA,TNFRSF1B,P01374,P20333,Ligand-Receptor,Signaling by Tumor necrosis factor
TNF,TNFRSF1A,P01375,P19438,Ligand-Receptor,Signaling by Tumor necrosis factor
TNF,TNFRSF1B,P01375,P20333,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF10,TNFRSF10A,P50591,O00220,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF10,TNFRSF10B,P50591,O14763,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF10,TNFRSF10C,P50591,O14798,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF10,TNFRSF10D,P50591,Q9UBN6,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF10,TNFRSF11B,P50591,O00300,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF11,TNFRSF11A,O14788,Q9Y6Q6,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF11,TNFRSF11B,O14788,O00300,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF12,TNFRSF12A,O43508,Q9NP84,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF12,TNFRSF25,O43508,Q93038,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF13,TNFRSF13B,O75888,O14836,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF13,TNFRSF17,O75888,Q02223,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF13B,TNFRSF13B,Q9Y275,O14836,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF13B,TNFRSF13C,Q9Y275,Q96RJ3,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF13B,TNFRSF17,Q9Y275,Q02223,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF14,LTBR,O43557,P36941,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF14,TNFRSF14,O43557,Q92956,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF14,TNFRSF6B,O43557,O95407,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF15,TNFRSF25,O95150,Q93038,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF15,TNFRSF6B,O95150,O95407,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF18,TNFRSF18,Q9UNG2,Q9Y5U5,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF4,TNFRSF4,P23510,P43489,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF8,TNFRSF8,P32971,P28908,Ligand-Receptor,Signaling by Tumor necrosis factor
TNFSF9,TNFRSF9,P41273,Q07011,Ligand-Receptor,Signaling by Tumor necrosis factor
UCN,CRHR1,P55089,P34998,Ligand-Receptor,Signaling by Urocortin/Urotensin
UCN,CRHR2,P55089,Q13324,Ligand-Receptor,Signaling by Urocortin/Urotensin
UCN2,CRHR1,Q96RP3,P34998,Ligand-Receptor,Signaling by Urocortin/Urotensin
UCN2,CRHR2,Q96RP3,Q13324,Ligand-Receptor,Signaling by Urocortin/Urotensin
UCN3,CRHR2,Q969E3,Q13324,Ligand-Receptor,Signaling by Urocortin/Urotensin
UTS2,UTS2R,O95399,Q9UKP6,Ligand-Receptor,Signaling by Urocortin/Urotensin
UTS2B,UTS2R,Q765I0,Q9UKP6,Ligand-Receptor,Signaling by Urocortin/Urotensin
VEGFA,FLT1,P15692,P17948,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFA,KDR,P15692,P35968,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFA,NRP1,P15692,O14786,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFA,NRP2,P15692,O60462,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFB,FLT1,P49765,P17948,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFB,NRP1,P49765,O14786,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFC,FLT4,P49767,P35916,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFC,KDR,P49767,P35968,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFD,FLT4,O43915,P35916,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VEGFD,KDR,O43915,P35968,Ligand-Receptor,Signaling by Vascular endothelial growth factor
VIP,ADCYAP1R1,P01282,P41586,Ligand-Receptor,Signaling by Vasoactive Intestinal Peptide
VIP,SCTR,P01282,P47872,Ligand-Receptor,Signaling by Vasoactive Intestinal Peptide
VIP,VIPR1,P01282,P32241,Ligand-Receptor,Signaling by Vasoactive Intestinal Peptide
VIP,VIPR2,P01282,P41587,Ligand-Receptor,Signaling by Vasoactive Intestinal Peptide
AVP,AVPR1A,P01185,P37288,Ligand-Receptor,Signaling by Vasopressin
AVP,AVPR1B,P01185,P47901,Ligand-Receptor,Signaling by Vasopressin
AVP,AVPR2,P01185,P30518,Ligand-Receptor,Signaling by Vasopressin
AVP,OXTR,P01185,P30559,Ligand-Receptor,Signaling by Vasopressin
DKK1,LRP5,O94907,O75197,Ligand-Receptor,Signaling by WNT
DKK1,LRP6,O94907,O75581,Ligand-Receptor,Signaling by WNT
DKK2,LRP6,Q9UBU2,O75581,Ligand-Receptor,Signaling by WNT
WNT1,CER1,P04628,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT1,FRZB,P04628,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT1,SFRP1,P04628,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT1,SFRP2,P04628,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT1,SFRP4,P04628,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT1,SFRP5,P04628,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT1,WIF1,P04628,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT10A,FRZB,Q9GZT5,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT11,CER1,O96014,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT11,FRZB,O96014,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT11,SFRP1,O96014,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT11,SFRP2,O96014,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT11,SFRP4,O96014,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT11,SFRP5,O96014,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT11,WIF1,O96014,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT16,CER1,Q9UBV4,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT16,FRZB,Q9UBV4,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT16,SFRP1,Q9UBV4,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT16,SFRP2,Q9UBV4,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT16,SFRP4,Q9UBV4,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT16,SFRP5,Q9UBV4,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT16,WIF1,Q9UBV4,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT2,CER1,P09544,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT2,FRZB,P09544,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT2,SFRP1,P09544,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT2,SFRP2,P09544,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT2,SFRP4,P09544,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT2,SFRP5,P09544,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT2,WIF1,P09544,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT2B,CER1,Q93097,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT2B,FRZB,Q93097,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT2B,SFRP1,Q93097,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT2B,SFRP2,Q93097,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT2B,SFRP4,Q93097,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT2B,SFRP5,Q93097,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT2B,WIF1,Q93097,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT3,CER1,P56703,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT3,FRZB,P56703,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT3,SFRP1,P56703,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT3,SFRP2,P56703,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT3,SFRP4,P56703,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT3,SFRP5,P56703,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT3,WIF1,P56703,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT3A,CER1,P56704,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT3A,FRZB,P56704,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT3A,SFRP1,P56704,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT3A,SFRP2,P56704,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT3A,SFRP4,P56704,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT3A,SFRP5,P56704,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT3A,WIF1,P56704,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT4,CER1,P56705,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT4,FRZB,P56705,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT4,SFRP1,P56705,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT4,SFRP2,P56705,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT4,SFRP4,P56705,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT4,SFRP5,P56705,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT4,WIF1,P56705,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT5A,CER1,P41221,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT5A,FRZB,P41221,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT5A,ROR1,P41221,Q01973,Ligand-Receptor,Signaling by WNT
WNT5A,ROR2,P41221,Q01974,Ligand-Receptor,Signaling by WNT
WNT5A,SFRP1,P41221,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT5A,SFRP2,P41221,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT5A,SFRP4,P41221,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT5A,SFRP5,P41221,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT5A,WIF1,P41221,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT5B,CER1,Q9H1J7,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT5B,FRZB,Q9H1J7,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT5B,SFRP1,Q9H1J7,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT5B,SFRP2,Q9H1J7,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT5B,SFRP4,Q9H1J7,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT5B,SFRP5,Q9H1J7,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT5B,WIF1,Q9H1J7,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT6,CER1,Q9Y6F9,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT6,FRZB,Q9Y6F9,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT6,SFRP1,Q9Y6F9,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT6,SFRP2,Q9Y6F9,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT6,SFRP4,Q9Y6F9,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT6,SFRP5,Q9Y6F9,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT6,WIF1,Q9Y6F9,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT7A,CER1,O00755,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT7A,FRZB,O00755,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT7A,SFRP1,O00755,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT7A,SFRP2,O00755,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT7A,SFRP4,O00755,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT7A,SFRP5,O00755,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT7A,WIF1,O00755,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT7B,CER1,P56706,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT7B,FRZB,P56706,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT7B,SFRP1,P56706,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT7B,SFRP2,P56706,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT7B,SFRP4,P56706,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT7B,SFRP5,P56706,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT7B,WIF1,P56706,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT8A,CER1,Q9H1J5,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT8A,FRZB,Q9H1J5,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT8A,SFRP1,Q9H1J5,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT8A,SFRP2,Q9H1J5,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT8A,SFRP4,Q9H1J5,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
WNT8A,SFRP5,Q9H1J5,Q5T4F7,Ligand-Ligand,Signaling by WNT inhibition
WNT8A,WIF1,Q9H1J5,Q9Y5W5,Ligand-Ligand,Signaling by WNT inhibition
WNT8B,CER1,Q93098,O95813,Ligand-Ligand,Signaling by WNT inhibition
WNT8B,FRZB,Q93098,Q92765,Ligand-Ligand,Signaling by WNT inhibition
WNT8B,SFRP1,Q93098,Q8N474,Ligand-Ligand,Signaling by WNT inhibition
WNT8B,SFRP2,Q93098,Q96HF1,Ligand-Ligand,Signaling by WNT inhibition
WNT8B,SFRP4,Q93098,Q6FHJ7,Ligand-Ligand,Signaling by WNT inhibition
